id;firstname;lastname;football_name
4510;Ricky;van Haaren;Ricky van Haaren
4511;Bart;Buysse;Bart Buysse
4513;Ramon Stanley Remy;Leeuwin;Ramon Leeuwin
4514;Alexander;Bannink;Alexander Bannink
4515;Roberto Jose;Rosales Altuve;Roberto Rosales
4517;Giorgio;Achterberg;Giorgio Achterberg
4519;Viktor Sebastian;Elm;Viktor Elm
4521;Pim;Bouwman;Pim Bouwman
4524;Tim;Gilissen;Tim Gilissen
4525;Fouad;Idabdelhay;Fouad Idabdelhay
4572;Shkodran;Metaj;Shkodran Metaj
4574;Ali;Boussaboun;\N
4576;Rasmus Christoffer;Elm;Rasmus Elm
4579;Davy;de Fauw;Davy De fauw
4581;Nemanja;Matic;Nemanja Matić
4582;Sander;Keller;\N
4583;Adam;Sarota;Adam Sarota
4584;Erixon;Danso;Erixon Danso
4585;Aleksandar;Stankov;Aleksandar Stankov
4586;Rihairo;Meulens;Rihairo Meulens
4587;Jasper;Cillessen;Jasper Cillessen
4604;Mario;Gotze;Mario Götze
4745;Dragan;Jelic;Dragan Jelic
4955;Andrei;Ionescu;Andrei Ionescu
4967;Mathias;Jattah-Njie Jorgensen;Zanka
4975;Ugur;Inceman;Ugur Inceman
5052;Soren;Krukow Rieks;Sören Rieks
5055;Tim;Janssen;Tim Janssen
5060;Michael;Tornes;Michael Törnes
5108;Nickolaj Oliver;Feldballe;Oliver Feldballe
5165;Lasse;Ladegaard Nielsen;Lasse Nielsen
5244;Gonzalo Manuel;Garcia Garcia;Gonzalo García
5304;Rick;Verbeek;Rick Verbeek
5326;Nikos;Karelis;Nikolaos Karelis
5365;Davino;Verhulst;Davino Verhulst
5366;Sven Andreas;Landgren;Andreas Landgren
5367;Maceo;Rigters;\N
5368;Ricardo;Ippel;Ricardo Ippel
5443;Kamohelo;Mokotjo;Kamohelo Mokotjo
5447;Adil;Auassar;Adil Auassar
5470;Guram;Kashia;Guram Kashia
5472;Marcus;Pedersen;Marcus Pedersen
5490;Thilo Gerd;Leugers;Thilo Leugers
5535;Stijn;Wuytens;Stijn Wuytens
5550;Leon;De Kogel;Leon de Kogel
5552;Thomas;Fauerskov Kristensen;Thomas Kristensen
5614;Kaj;Ramsteijn;Kaj Ramsteijn
5616;Tobias;Waisapy;Tobias Waisapy
5622;Kevin;Conboy;Kevin Conboy
5628;Daniel Mathias;Hoegh;Daniel Höegh
5640;Andreas;Bjelland;Andreas Bjelland
5648;Patrick John Miguel;Van Aanholt;Patrick van Aanholt
5649;Gaеl Romeo;Kakuta Mambenga;Gaël Kakuta
5650;Joshua Mark;McEachran;Josh McEachran
5656;Anga Dedryck;Boyata;Dedryck Boyata
5662;Abdisalam Abdulkadir;Ibrahim;Abdisalam Ibrahim
5684;Rhys Philip Elliot;Murphy;Rhys Murphy
5712;Magnus;Wolff Eikrem;Magnus Wolff Eikrem
5728;Gianni Michel Eugene;Zuiverloon;Gianni Zuiverloon
5876;Lee Barri;Cattermole;Lee Cattermole
5968;Dean Anthony;Bouzanis;Dean Bouzanis
5972;Steven;Irwin;Steven Irwin
5982;Martin;Hansen;Martin Hansen
5998;Jordan;Spence;Jordan Spence
6009;Haris;Vuckic;Haris Vuckic
6013;Tamas;Kadar;Tamás Kádár
6014;Timothy Michael;Krul;Tim Krul
6421;Danilo Luis Helio;Helio Pereira;Danilo Pereira
6480;Nicolai Mick;Jorgensen;Nicolai Jörgensen
6488;Daniel;Schwaab;Daniel Schwaab
6500;Peniel Qoku;Mlapa;Peniel Mlapa
6516;Romeo;Castelen;\N
6635;Felix;Wiedwald;Felix Wiedwald
6640;Lennart;Thy;Lennart Thy
6647;Kevin;Schindler;Kevin Schindler
6686;Roel;Brouwers;\N
6690;Christian;Dorda;Christian Dorda
6722;Adam;Nemec;Adam Nemec
6747;Lars;Unnerstall;Lars Unnerstall
6753;Lukas;Schmitz;Lukas Schmitz
6783;Mark-Alexander;Uth;Mark Uth
6826;Marti;Riverola Bataller;Martí Riverola
6943;Jonathan Alexander;De Guzman;Jonathan de Guzmán
7034;Jeffrey;Sarpong;Jeffrey Sarpong
7076;Krisztian;Vadocz;Krisztián Vadócz
7190;Ludovic Lamine;Sane;Lamine Sané
7233;Nicolas Johnny;Isimat-Mirin;Nicolas Isimat-Mirin
7247;Rajiv;Van La Parra;Rajiv van La Parra
7465;Steeven Jeel;Langil;Steeven Langil
7477;Yaya;Sanogo;Yaya Sanogo
7562;Rasmus;Lindgren;Rasmus Lindgren
7563;Ola;John;Ola John
7564;Dario;Vujicevic;Dario Vujicevic
7565;Graziano;Pelle;Graziano Pellè
7566;Charlison Girigorio;Benschop;Charlison Benschop
7616;Uros;Matic;Uros Matic
7687;Milano;Koenders;Milano Koenders
7689;Cassio Francisco;Borges da Silva;Cássio
7694;Filip;Luksik;Filip Luksik
7718;Sekou;Cisse;Sekou Cissé
7719;Bart;Schenkeveld;Bart Schenkeveld
7720;Kenneth;Vermeer;Kenneth Vermeer
7721;Jeroen;Verhoeven;Jeroen Verhoeven
7722;Daley;Blind;Daley Blind
7724;Mitchell Glenn;Donald;Mitchell Donald
7728;Nick;Marsman;Nick Marsman
7729;Rasmus;Bengtsson;Rasmus Bengtsson
7730;Nicky;Kuiper;Nicky Kuiper
7731;Steven;Berghuis;Steven Berghuis
7739;Kevin;Begois;Kevin Begois
7740;Delano;van Crooij;Delano van Crooij
7741;Roel;Janssen;Roel Janssen
7742;Quin;Kruijsen;Quin Kruijsen
7743;Ahmed;Musa;Ahmed Musa
7744;Maya;Yoshida;Maya Yoshida
7745;Wesley;de Ruiter;Wesley de Ruiter
7747;Mark;Maarel;Mark van der Maarel
7748;Ismo;Vorstermans;Ismo Vorstermans
7750;Michael Anthony;Zullo;Michael Zullo
7751;Tom;Boks;Tom Boks
7752;Nico-Stephano;Pellatz;Nico Pellatz
7753;Lorenzo;Pique;Lorenzo Piqué
7754;Mitchell;Pique;Mitchell Piqué
7755;Serhat;Koksal;Serhat Köksal
7756;Aleksandar;Rankovic;Aleksandar Rankovic
7757;Leroy;Resodihardjo;Leroy Resodihardjo
7758;Jarchinio Angelo Roberto;Antonia;Jarchinio Antonia
7759;Esteban;Alvarado Brown;Esteban Alvarado
7761;Gill Toby;Todor Swerts;Gill Swerts
7762;Giliano;Wijnaldum;\N
7763;Roland Romario;Alberg;Roland Alberg
7764;Adam;Maher;Adam Maher
7765;Ali;Messaoud;Ali Messaoud
7766;Hobie;Verhulst;Hobie Verhulst
7767;Mitchell Quinten;Te Vrede;Mitchell Te Vrede
7768;Luuk;Koopmans;Luuk Koopmans
7769;Remy;Amieux;Rémy Amieux
7770;Joost;Ebergen;Joost Ebergen
7771;Marco;van Duin;Marco van Duin
7772;Youri;Loen;Youri Loen
7773;Adnan;Secerovic;Adnan Secerovic
7774;Ryan;van Dijk;Ryan van Dijk
7775;Furkan;Alakmak;Furkan Alakmak
7776;Erton;Fejzullahu;Erton Fejzullahu
7780;Steven;Edwards;Steven Edwards
7781;Omer;Bayram;Ömer Bayram
7782;Nasser;Khayati;Nasser El Khayati
7783;Konstantinos;Lamprou;Konstantinos Lamprou
7784;Lex;van Haeften;Lex van Haeften
7786;Tim;Eekman;Tim Eekman
7787;Shabir;Isoufi;Shabir Isoufi
7791;Sebastiaan;Van Der Sman;Sebastiaan van der Sman
7794;Kevin;van Diermen;Kevin van Diermen
7795;Nacer;Barazite;Nacer Barazite
7796;Michihiro;Yasuda;Michihiro Yasuda
7797;Rogier;Molhoek;Rogier Molhoek
7799;Leonard;Nienhuis;Leonard Nienhuis
7800;Brian van;Loo;Brian van Loo
7801;Jorrit;Kunst;Jorrit Kunst
7802;Darryl Brian Ricky;Lachman;Darryl Lachman
7803;Jeroen;Veldmate;Jeroen Veldmate
7806;Jordy;Van De Kracht;Jordy van de Kracht
7807;Leon;Broekhof;Leon Broekhof
7808;Ties;Evers;Ties Evers
7809;Jochem;Jansen;Jochem Jansen
7810;Ted;Van De Pavert;Ted van de Pavert
7811;Gregor Flanegin;Breinburg;Gregor Breinburg
7812;Dimitri;Hairemans;Dimitri Hairemans
7813;Rik;Sebens;Rik Sebens
7815;Niek;Sebens;Niek Sebens
7816;Rene;Oosterhof;René Oosterhof
7817;Kevin;Stuhr-Ellegaard;Kevin Stuhr-Ellegaard
7819;Arnold;Kruiswijk;Arnold Kruiswijk
7820;Brian;Vandenbussche;Brian Vandenbussche
7821;Philip Thomas Jesper;Haglund;Philip Haglund
7822;Luciano;Narsingh;Luciano Narsingh
7823;Nick;Hengelman;Nick Hengelman
7824;Dennis;Telgenkamp;Dennis Telgenkamp
7826;Peter;Reekers;Peter Reekers
7827;Mike Jarno Maria;te Wierik;Mike te Wierik
7828;Olivier;ter Horst;Olivier ter Horst
7830;Ben;Rienstra;Ben Rienstra
7832;Amer Abdulrahman Abdullah;Husin Al Hammadi;Amer Abdulrahman
7833;Andrej;Rendla;Andrej Rendla
7834;Ellery;Cairo;Ellery Cairo
7835;Bram;Castro;Bram Castro
7836;Zakaria;Labyad;Zakaria Labyad
7837;Stef;Nijland;Stef Nijland
7838;Mateusz;Prus;Mateusz Prus
7839;Collin;van Eijk;Collin van Eijk
7840;Antonio;Stankov;Antonio Stankov
7843;Guus;Hupperts;Guus Hupperts
7844;Stein;Huysegems;Stein Huysegems
7846;Giovanni;Gravenbeek;Giovanni Gravenbeek
7847;Josimar;Lima;Josimar Lima
7849;Jasper;Waalkens;Jasper Waalkens
7850;Pawel;Wojciechowski;Pawel Wojciechowski
8308;Ben;Sahar;Ben Sahar
8488;Lukas;Marecek;Lukas Marecek
8496;Ziguy;Badibanga;Ziguy Badibanga
8523;Erik;Schouten;Erik Schouten
8594;Thibaut;Van Acker;Thibaut Van Acker
8599;Maxime Christophe;Lestienne;Maxime Lestienne
8610;Yassine;Ghanassy;Yassine El Ghanassy
8647;Thanasis;Papazoglou;Athanasios Papazoglou
8668;Jakob;Janscher;Jakob Jantscher
8756;Serginho;Greene;Serginho Greene
8768;Dustley;Mulder;\N
8806;Pawel;Kieszek;Pawel Kieszek
8903;Markus;Henriksen;Markus Henriksen
8933;Wilfried Guemiand;Bony;Wilfried Bony
8975;Abel;Tezzy Tamata;Abel Tamata
8980;Kostas;Mitroglou;Konstantinos Mitroglou
9077;Marvin;Ogunjimi;Marvin Ogunjimi
9081;Haris;Medunjanin;Haris Medunjanin
9088;Zoltan;Szelesi;Zoltán Szélesi
9095;Simon;Church;Simon Church
9101;Matheus;Biteco;Matheus Menezes
9139;Jukka;Raitala;Jukka Raitala
9164;Ruben;Yttergard Jenssen;Ruben Jenssen
9189;Ohad;Levita;Ohad Levita
9306;Bruno;Uvini Bortolanca;Bruno Uvini
9406;Alexander;Merkel;Alexander Merkel
9430;Gernot;Trauner;Gernot Trauner
9461;Michael;Liendl;Michael Liendl
9571;Oguzhan;Ozyakup;Oguzhan Özyakup
9616;Richmond;Yiadom Boakye;Richmond Boakye
9693;Denni Robin;Avdic;Denni Avdic
9703;Andreas;Ludwig;Andreas Ludwig
9706;Christoph;Hemlein;Christoph Hemlein
9708;Aykut;Ozer;Aykut Özer
9717;Tobias;Haitz;\N
9755;Jean-Christophe;Bahebeck;Jean-Christophe Bahebeck
9783;Damien;Perquis;Damien Perquis
9817;Wojciech;Golla;Wojciech Golla
9852;Marcos Ferrera;Gullon;Marcos Gullón
9879;Genero;Zeefuik;Género Zeefuik
9880;Jeroen;Zoet;Jeroen Zoet
9884;Dario;Cvitanich;Darío Cvitanich
9886;Aras;Ozbiliz;Aras Özbiliz
9888;Jody;Lukoki;Jody Lukoki
9889;Lorenzo Leroy;Ebecilio;Lorenzo Ebecilio
9891;Ryo;Miyaichi;Ryo Miyaichi
9895;Robert;Cullen;Robert Cullen
9911;Kenny;Van Hoevelen;Kenny Van Hoevelen
9922;Yves;De Winter;Yves De Winter
9947;Sven;Van der Jeugt;Sven Van Der Jeugt
9956;Azbe;Jug;Azbe Jug
9957;John;Verhoek;John Verhoek
9966;Rangelo Maria;Janga;Rangelo Janga
9967;Vladan;Kujovic;Vladan Kujovic
10001;Krisztian;Simon;Krisztián Simon
10010;Apostolos;Vellios;Apostolos Vellios
10034;Attila;Yildirim;Atilla Yildirim
10035;Evert;Brouwers;Evert Brouwers
10036;Kevin Johannes;Willem Strootman;Kevin Strootman
10040;Marvin;Pluijm;Marvin van der Pluijm
10041;Chiro;Mena Vuza-N'Toko;Chiró N'Toko
10067;Nestoras;Mytides;Nestoras Mytidis
10070;Alexander Clas Robin;Gerndt;Alexander Gerndt
10132;Arnaud;De Greef;Arnaud De Greef
10134;Nathan Clement;Kabasele Mwamba;Nathan Kabasele
10228;Thomas;Bruns;Thomas Bruns
10230;Dalibor;Volas;Dalibor Volas
10249;Edwin;de Graaf;Edwin de Graaf
10251;Robin;Udegbe;Robin Udegbe
10252;Igor;Duric;Igor Djuric
10253;Erik;Cummins;Erik Cummins
10254;Gevero;Markiet;Gévero Markiet
10300;Danny;Holla;Danny Holla
10301;Jeffrey;Rijsdijk;Jeffrey Rijsdijk
10302;Etienne;Reijnen;Etiënne Reijnen
10304;Toine Daniеl;van Huizen;Toine van Huizen
10306;Joеl;Tillema;Joël Tillema
10603;Ravel Ryan;Morrison;Ravel Morrison
10606;Lucas;Qvistorff Andersen;Lucas Andersen
10707;Mitja;Morec;Mitja Mörec
10739;Jos;Hooiveld;Jos Hooiveld
10740;Mathias;Krathmann Gehrt;Mathias Gehrt
11117;David;Katz Boysen;David Boysen
11144;Daniel;Sartori Bessa;Daniel Bessa
11787;Valentin Alexandru;Cojocaru;Valentin Cojocaru
11803;Jeffrey;Gouweleeuw;Jeffrey Gouweleeuw
11885;Nicolai;Moller Boilesen;Nicolai Boilesen
11902;Johan;Martensson;Johan Martensson
