id;match_name;match_date;team1_id;team1_score;team2_id;team2_score
5356;Heerenveen - Utrecht;2012-01-28 17:45;164;2;162;\N
5357;NEC - ADO Den Haag;2012-01-29 16:30;69;2;155;\N
5358;RKC Waalwijk - VVV;2012-01-29 14:30;650;4;170;\N
5359;Twente Enschede FC - Groningen;2012-01-29 13:30;161;4;160;\N
5360;Feyenoord - Ajax;2012-01-29 11:30;64;4;157;\N
5361;Heerenveen - Roda JC Kerkrade;2012-02-03 22:00;164;4;169;\N
5362;ADO Den Haag - AZ;2012-02-08 18:00;155;\N;156;\N
5363;Vitesse - NAC Breda;2012-02-04 20:45;171;1;166;\N
5364;Heracles - PSV;2012-02-05 14:30;165;1;168;\N
5365;Excelsior Rotterdam - VVV;2012-02-04 18:45;159;3;170;\N
5366;Ajax - Utrecht;2012-02-05 11:30;157;\N;162;\N
5367;Groningen - RKC Waalwijk;2012-02-05 16:30;160;\N;650;\N
5368;De Graafschap - Twente Enschede FC;2012-03-21 17:30;158;1;161;\N
5369;NEC - Feyenoord;2012-02-05 13:30;69;\N;64;\N
5370;Twente Enschede FC - Heracles;2012-02-10 19:00;161;2;165;\N
5371;AZ - Excelsior Rotterdam;2012-02-11 17:45;156;2;159;\N
5372;VVV - Groningen;2012-02-11 18:45;170;2;160;\N
5373;NAC Breda - Ajax;2012-02-11 19:45;166;\N;157;\N
5374;Roda JC Kerkrade - NEC;2012-02-11 18:45;169;1;69;\N
5375;PSV - De Graafschap;2012-02-12 14:30;168;4;158;\N
5376;RKC Waalwijk - Heerenveen;2012-02-12 13:30;650;\N;164;\N
5377;Utrecht - ADO Den Haag;2012-02-12 11:30;162;1;155;\N
5378;Feyenoord - Vitesse;2012-02-12 15:30;64;3;171;\N
5379;Heerenveen - NAC Breda;2012-02-17 19:00;164;1;166;\N
5380;ADO Den Haag - Excelsior Rotterdam;2012-02-18 19:45;155;1;159;\N
5381;Vitesse - Twente Enschede FC;2012-02-19 16:30;171;1;161;\N
5382;Heracles - Roda JC Kerkrade;2012-02-18 20:45;165;2;169;\N
5383;De Graafschap - VVV;2012-02-18 18:45;158;1;170;\N
5384;Ajax - NEC;2012-02-19 14:30;157;4;69;\N
5385;Groningen - PSV;2012-02-19 11:30;160;3;168;\N
5386;Utrecht - AZ;2012-02-19 13:30;162;3;156;\N
5387;Feyenoord - RKC Waalwijk;2012-02-18 17:45;64;1;650;\N
5388;RKC Waalwijk - Vitesse;2012-02-24 19:00;650;1;171;\N
5389;AZ - Heerenveen;2012-02-26 16:30;156;3;164;\N
5390;VVV - Heracles;2012-02-25 19:45;170;3;165;\N
5391;NAC Breda - ADO Den Haag;2012-02-25 17:45;166;4;155;\N
5392;Roda JC Kerkrade - De Graafschap;2012-02-25 18:45;169;\N;158;\N
5393;NEC - Groningen;2012-02-25 20:45;69;4;160;\N
5394;PSV - Feyenoord;2012-02-26 13:30;168;3;64;\N
5395;Twente Enschede FC - Utrecht;2012-02-26 14:30;161;1;162;\N
5396;Excelsior Rotterdam - Ajax;2012-02-26 11:30;159;1;157;\N
5397;ADO Den Haag - Heerenveen;2012-03-03 17:45;155;\N;164;\N
5398;AZ - Heracles;2012-03-03 20:45;156;3;165;\N
5399;VVV - NAC Breda;2012-03-03 18:45;170;2;166;\N
5400;RKC Waalwijk - Excelsior Rotterdam;2012-03-03 18:45;650;1;159;\N
5401;Ajax - Roda JC Kerkrade;2012-03-04 13:30;157;4;169;\N
5402;Vitesse - De Graafschap;2012-03-04 11:30;171;2;158;\N
5403;PSV - Twente Enschede FC;2012-03-04 15:30;168;2;161;\N
5404;Utrecht - NEC;2012-03-04 13:30;162;\N;69;\N
5405;Feyenoord - Groningen;2012-03-04 13:30;64;1;160;\N
5406;Roda JC Kerkrade - VVV;2012-03-09 19:00;169;3;170;\N
5407;Heracles - ADO Den Haag;2012-03-10 18:45;165;\N;155;\N
5408;NAC Breda - PSV;2012-03-11 11:30;166;3;168;\N
5409;NEC - Twente Enschede FC;2012-03-11 13:30;69;3;161;\N
5410;Heerenveen - Excelsior Rotterdam;2012-03-10 19:45;164;4;159;\N
5411;Ajax - RKC Waalwijk;2012-03-11 13:30;157;3;650;\N
5412;Groningen - Vitesse;2012-03-10 17:45;160;1;171;\N
5413;De Graafschap - AZ;2012-03-11 15:30;158;\N;156;\N
5414;Feyenoord - Utrecht;2012-03-11 13:30;64;1;162;\N
